Anime,Number of Figurines
Gintama,143
Jujutsu Kaisen,116
Boku no Hero Academia,92
Bungou Stray Dogs,65
Meitantei Conan,60
Miku,60
"Meitantei Conan, Lupin III",59
Shingeki no Kyojin,48
"Meitantei Conan, Lupin III,",47
Re: Zero Kara Hajimeru Isekai Seikatsu,47
Kimetsu no Yaiba,45
Reborn,34
"Gekijouban Jujutsu Kaisen 0, Jujutsu Kaisen",27
Naruto,25
Evangelion,24
Dorohedoro,22
Bocchi the Rock,21
Haikyuu!!,20
"Detective Conan Movie 13: The Raven Chaser, Detective Conan",20
"Bungou Stray Dogs 5th Season, Bungou Stray Dogs 4th Season",20
Kusuriya no Hitorigoto,19
"Gintama, Sket Dance",18
Blue Lock,16
Overlord,15
Baki the Grappler,15
SPY×FAMILY,14
Persona,14
Cardcaptor Sakura,13
Date A Live,12
Ranma ½,12
"One Piece, Toriko",12
gundam,11
Sword Art Online,10
Fate,10
Uma Musume,10
"Jujutsu Kaisen, Jujutsu Kaisen 2",10
"Dungeon Meshi 2, Dungeon Meshi",9
"Katekyo Hitman Reborn!: Mr. Rebokku no Ciao Ciao Interview, Katekyo Hitman Reborn!",9
JoJo,9
Dragon Ball,8
One Piece,8
Kono Subarashii Sekai ni Shukufuku o!,8
Fullmetal Alchemist,7
Cooking with Valkyries,7
Wind Breaker,7
"Vampire Hunter D: Bloodlust, Vampire Hunter D",7
Oshi no Ko,7
Hunter x Hunter,6
NieR:Automata,6
Azur Lane,6
Rurouni Kenshin,6
idolish7,5
Monogatari Series,5
Berserk,5
Touken Ranbu,5
"Spy x Family Part 2, Spy x Family",5
"stay night, Carnival Phantasm",5
"Boku no Hero Academia The Movie Heroes: Rising, Boku no Hero Academia 4",4
Gotoubun no Hanayome,4
"Kimetsu no Yaiba Movie: Mugen Ressha-hen, Kimetsu no Yaiba",4
"SSSS.Gridman, Gridman Universe",4
bleach,4
"My Neighbor Totoro, Mei to Konekobasu",4
"Final Fantasy VII - Advent Children: Complete, Final Fantasy VII - Advent Children",4
"Uzaki-chan wa Asobitai!, Uzaki-chan wa Asobitai! Double",4
Kuroshitsuji,4
"Boku no Hero Academia 4, Boku no Hero Academia 3",3
Ao no Exorcist,3
Pretty Cure,3
"Tensei Shitara Slime Datta Ken OVA , Tensei shitara Slime Datta Ken",3
ToLoveRu,3
stay night,3
"Katekyo Hitman Reborn! Special, Katekyo Hitman Reborn!",3
Fatal Fury,3
Anime Tenchou,3
Lodoss,3
hajime no ippo,3
Yuru Camp,3
